envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
14160000,85000,72.63,65.48,27.6056,6.6698,0.1806,18.7373,0.0004,0.0021,0.6425,1.373,0.0606,-0.1929,1.0345,0.8036,0.9991,0.011,-0.0584,2.947,13.6338
14245000,85500,78.12,87.42,31.4776,8.1354,0.1432,19.896,0.0023,0.0022,0.604,2.6945,0.118,-0.2213,1.3592,1.0906,0.9768,-0.0171,-0.0187,3.0863,7.7567
14320000,86000,34.02,77.14,31.2887,7.2197,0.151,20.4413,0.0011,0.0096,1.2578,2.2083,0.1139,-0.1853,1.3203,0.8133,1.0303,-0.0109,-0.0158,2.194,15.5979
14405000,86500,73.88,78.13,27.5105,6.5894,0.1524,17.569,0.0006,0.0059,0.7574,2.4359,0.1001,-0.215,1.2175,0.8502,0.8708,0.0149,-0.0309,2.5161,10.5161
14480000,87000,27.88,20.21,31.4479,7.5227,0.1508,19.8948,0.0024,0.0155,1.2885,2.5731,0.1479,-0.288,1.2586,0.9663,1.0537,0.0448,0.0529,2.8536,14.3756
14555000,87500,27.45,69.74,28.2967,7.0652,0.1378,18.5959,0.0011,0.0295,0.6192,1.8479,0.0459,-0.2388,1.2442,0.9583,0.9322,0.0239,-0.041,3.091,16.8627
14630000,88000,27.77,48.47,28.6719,6.4032,0.1307,19.2847,0.0004,0.0069,0.7634,2.0826,0.0435,-0.3029,1.3616,1.1401,1.0377,-0.0065,-0.0826,2.9289,15.1652
14705000,88500,35.33,18.05,27.4793,6.0445,0.133,17.6124,0.0003,0.016,0.8004,2.8727,0.0581,-0.2316,1.5176,0.9911,1.2972,0.0217,-0.0375,3.6152,6.1562
14780000,89000,62.84,18.81,30.1076,6.8291,0.1711,17.8651,0.0008,0.0025,1.1894,4.0497,0.0493,-0.2145,1.4728,1.2592,1.1934,0.1176,-0.004,6.1826,4.393
14855000,89500,28.22,13.4,26.9528,5.8504,0.1445,18.0039,0.0005,0.0169,0.5933,2.3434,0.0422,-0.1956,1.4893,0.7996,1.7304,-0.0711,0.077,4.4815,5.1932
14930000,90000,32.37,21.47,25.8878,5.5811,0.1376,17.8524,0.0004,0.0069,0.5542,1.7551,0.0605,-0.2335,1.5147,1.0327,1.2614,-0.0157,0.0197,3.088,5.2305
15005000,90500,36.97,66.72,29.3503,7.0832,0.173,19.6258,0.0008,0.0055,1.0716,1.3905,0.0427,-0.1699,1.4142,0.7658,1.1326,-0.0134,-0.0335,3.0427,11.1385
15080000,91000,62.49,22.03,28.1136,5.8981,0.1484,18.6939,0.0004,0.0025,1.0345,2.3358,0.0614,-0.2084,1.4917,1.0495,1.2276,0.0017,-0.0585,2.4028,5.4458
15155000,91500,12.6,11.4,25.9662,5.6452,0.1755,17.6051,0.0009,0.0017,0.5312,2.0067,0.0773,-0.2143,1.3427,0.9104,1.0125,0.0179,0.0548,2.7019,12.661
15235000,92000,51.55,107.18,25.5985,5.2748,0.1769,17.2553,0.0005,0.0122,0.677,2.2019,0.0518,-0.2106,1.3028,0.9703,0.9648,0.024,-0.06,2.6406,15.1515
15312500,92500,31.5,76.64,28.0643,5.6482,0.2235,19.4386,0.0002,0.0004,0.9149,1.8385,0.0453,-0.2894,1.1869,0.9244,0.9752,0.0609,0.0141,3.6224,14.857
