envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
4562500,25200,17.69,20.29,41.1823,12.1087,0.1307,25.6229,0.0052,0.0,2.7706,0.5442,0.0675,-0.1192,0.8249,0.7056,0.7785,0.0039,-0.0194,0.8691,11.8798
4625000,25550,22.84,13.69,37.4993,11.2061,0.143,22.9237,0.0075,0.0,2.4151,0.8039,0.0635,-0.1311,0.8133,0.7953,0.8066,-0.0001,-0.0079,0.9089,10.2982
4687500,25900,31.1,19.79,35.8977,9.5763,0.1594,22.8024,0.0112,0.0,2.5655,0.7828,0.0227,-0.1238,0.8465,0.8565,0.9417,0.0119,-0.0198,1.0733,10.0694
4750000,26250,25.02,17.71,45.3884,9.6797,0.1611,29.0747,0.0092,0.0,5.8083,0.6555,0.0514,-0.1999,0.8613,0.7758,0.8476,0.0052,-0.0186,1.2395,11.6212
4812500,26600,5.14,13.42,44.8743,13.6545,0.1432,26.3236,0.0052,0.0,4.2401,0.5077,0.0483,-0.0749,0.8432,0.7691,0.8936,0.0032,0.0256,1.2291,10.8634
4875000,26950,17.7,21.6,35.1551,9.4312,0.1437,21.332,0.0052,0.0,3.8274,0.4154,0.0604,-0.1398,0.6899,0.6087,0.9243,-0.0048,0.1155,1.2155,10.7172
4937500,27300,13.39,15.88,39.4319,10.5405,0.1454,24.0046,0.0059,0.0,4.2055,0.5301,0.0695,-0.1038,0.6279,0.7289,0.966,0.009,0.0937,1.1389,11.763
5000000,27650,24.77,19.67,42.8425,13.3904,0.1609,25.8004,0.0047,0.0,2.9263,0.5598,0.0474,-0.0645,0.6442,0.6257,0.7312,-0.0058,-0.0132,1.1165,10.5828
5062500,28000,6.24,12.81,38.8647,10.6578,0.1542,24.0463,0.0032,0.0,3.5395,0.4637,0.0812,-0.022,0.7413,0.6568,0.7321,-0.0156,-0.0151,1.4098,10.9842
5125000,28350,24.89,43.56,43.2536,11.8607,0.1366,26.1771,0.0028,0.0,4.2023,0.8742,0.0573,-0.2096,0.7711,0.8067,0.7763,0.0172,-0.0095,1.4347,10.7155
5187500,28700,11.43,33.8,38.2172,11.0341,0.1722,22.9389,0.0052,0.0,3.3096,0.7572,0.0759,-0.0893,0.7526,0.7544,0.896,-0.0035,0.0671,1.4322,12.2953
5250000,29050,15.45,21.03,40.8988,11.3915,0.1638,25.1626,0.006,0.0,3.5551,0.6196,0.0449,-0.1467,0.7291,0.7132,0.9468,0.0057,0.1506,1.2785,13.4272
5312500,29400,30.08,17.02,44.2426,13.1627,0.1519,26.2667,0.0012,0.0,4.104,0.556,0.0655,-0.1649,0.6702,0.7685,1.0162,0.0013,0.1107,1.2967,12.1574
5375000,29750,20.72,18.18,35.2293,9.6324,0.15,21.6344,0.0012,0.0,3.0109,0.8004,0.0487,-0.0968,0.5548,0.9068,0.8149,0.0188,-0.0545,1.4012,12.996
5437500,30100,15.44,20.25,34.7772,10.6837,0.1336,20.4858,0.0012,0.0,2.8667,0.606,0.0815,-0.0818,0.6308,0.7477,0.8191,-0.0063,0.0287,1.2509,12.4329
5500000,30450,48.53,20.2,37.526,11.2785,0.1454,22.7523,0.0009,0.0,2.919,0.4299,0.0166,-0.0812,0.6109,0.8487,0.9725,0.0235,0.0057,1.4592,11.4396
5562500,30800,35.41,15.04,45.1326,10.2341,0.1687,30.4608,0.0015,0.0,3.9628,0.3046,0.0297,-0.0741,0.6526,0.8345,0.8844,0.0102,-0.1097,1.677,9.3293
5625000,31150,3.1,6.99,32.9835,8.6922,0.156,21.5357,0.0007,0.0,2.1316,0.4673,0.0751,-0.1217,0.6086,0.701,0.9438,-0.0069,0.1542,1.3679,11.3695
5687500,31500,0.0,3.97,35.1459,9.1959,0.1723,22.8317,0.0008,0.0,2.2569,0.6882,0.0349,-0.1561,0.6683,0.9034,0.8455,0.045,-0.0726,1.474,11.7537
5750000,31850,0.0,5.03,33.2565,8.323,0.1484,21.3349,0.0007,0.0,2.5291,0.9204,0.0987,-0.1134,0.7735,0.8059,0.9264,0.0135,0.0524,1.4231,11.384
5812500,32200,25.95,20.75,36.7355,7.8135,0.1924,24.053,0.0007,0.0,4.2386,0.4373,0.0285,-0.0452,0.7884,0.7552,0.9863,-0.0206,-0.0045,1.5729,9.8531
